采样方法,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC
原始数据(不采样),0.9904290429042903,0.0,0.0,0.0,0.7519491332980092,0.033910259074614
RandomOverSampler,0.987953795379538,0.0,0.0,0.0,0.758337748845659,0.03709920628476008
SMOTE,0.9851485148514852,0.0,0.0,0.0,0.722534251759897,0.022966093387612945
BorderlineSMOTE,0.9881188118811881,0.0,0.0,0.0,0.7392173189009158,0.027496782774319245
ADASYN,0.9858085808580859,0.0,0.0,0.0,0.7543410794035275,0.03028535994998281
RandomUnderSampler,0.6315181518151814,0.018866998355218628,0.7818181818181819,0.036841277639292465,0.7576489289228674,0.053530137012591864
NearMiss-1,0.22689768976897687,0.010017884802392501,0.8545454545454547,0.019801181004692726,0.493225342517599,0.015942597251204373
NearMiss-2,0.051650165016501645,0.008635397757594108,0.9090909090909092,0.017108271871629978,0.6319809249867535,0.020740530845158523
TomekLinks,0.9905940594059406,0.0,0.0,0.0,0.740594958746499,0.036322081136668946
SMOTETomek,0.9846534653465346,0.0,0.0,0.0,0.7442888502005904,0.02501985425920187
